"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.151550200E-2	8.442500234E-2	-9.349999949E-3	-1.127499994E-2	8.568622493E-2
1.366311600E-2	6.613750011E-2	-1.182499994E-2	-1.127499994E-2	6.812580398E-2
1.580865600E-2	4.784999788E-2	-1.429999992E-2	-8.799999952E-3	5.071047519E-2
1.795611600E-2	3.079999983E-2	-1.306249946E-2	-8.799999952E-3	3.459348033E-2
2.010157900E-2	1.361249946E-2	-1.182499994E-2	-6.324999966E-3	1.910854232E-2
2.224904400E-2	-7.149999961E-3	-8.249999955E-3	-5.087499972E-3	1.204440346E-2
2.439450800E-2	-2.296249941E-2	-2.062499989E-3	-3.849999979E-3	2.337419058E-2
2.654219800E-2	-3.767500073E-2	2.749999985E-3	-2.749999985E-3	3.787519874E-2
2.868773800E-2	-5.472499877E-2	6.462499965E-3	-1.512499992E-3	5.512601067E-2
3.083519800E-2	-7.191249728E-2	1.251249947E-2	-1.512499992E-3	7.300861295E-2
3.298065600E-2	-8.648750186E-2	1.498750038E-2	-2.749999985E-4	8.777692619E-2
3.512811600E-2	-1.011999995E-1	1.374999993E-2	9.624999948E-4	1.021343664E-1
3.727365600E-2	-1.121999994E-1	1.251249947E-2	-2.749999985E-4	1.128958730E-1
3.942127000E-2	-1.231999993E-1	7.699999958E-3	-2.749999985E-3	1.234710182E-1
4.156681000E-2	-1.317249984E-1	5.224999972E-3	-3.849999979E-3	1.318847918E-1
4.371424600E-2	-1.379124969E-1	2.749999985E-3	-6.324999966E-3	1.380848469E-1
4.585970900E-2	-1.427250057E-1	-4.537499975E-3	-6.324999966E-3	1.429371253E-1
4.800716900E-2	-1.500124931E-1	-4.537499975E-3	-8.799999952E-3	1.503388739E-1
5.015270900E-2	-1.524875015E-1	-5.774999969E-3	-1.003750041E-2	1.529265842E-1
5.230032300E-2	-1.537249982E-1	-4.537499975E-3	-1.003750041E-2	1.541191598E-1
5.444584300E-2	-1.549624950E-1	-8.249999955E-4	-1.251249947E-2	1.554690262E-1
5.659330300E-2	-1.500124931E-1	3.987499978E-3	-1.127499994E-2	1.504884510E-1
5.873876600E-2	-1.512500048E-1	8.937500417E-3	-1.003750041E-2	1.518459557E-1
6.088645700E-2	-1.451999992E-1	1.251249947E-2	-1.127499994E-2	1.461736229E-1
6.303176600E-2	-1.402499974E-1	1.498750038E-2	-8.799999952E-3	1.413227757E-1
6.517933700E-2	-1.342000067E-1	1.251249947E-2	-8.799999952E-3	1.350690359E-1
6.732487700E-2	-1.231999993E-1	5.224999972E-3	-7.562499959E-3	1.235424294E-1
6.947233700E-2	-1.121999994E-1	-4.537499975E-3	-6.324999966E-3	1.124697043E-1
7.161780000E-2	-1.024374962E-1	-1.058750041E-2	-3.849999979E-3	1.030551226E-1
7.376549100E-2	-9.019999951E-2	-1.182499994E-2	-5.087499972E-3	9.111395717E-2
7.591076100E-2	-7.672499865E-2	-1.182499994E-2	-3.849999979E-3	7.772630534E-2
7.805837500E-2	-6.091250107E-2	-7.012499962E-3	-3.849999979E-3	6.143557961E-2
8.020391500E-2	-4.496249929E-2	-2.062499989E-3	-3.849999979E-3	4.517413805E-2
8.235137500E-2	-3.162499890E-2	6.462499965E-3	-2.749999985E-3	3.239547748E-2
8.449683800E-2	-1.443750039E-2	8.937500417E-3	-3.849999979E-3	1.741099741E-2
8.664451500E-2	2.612499986E-3	1.141249947E-2	-2.749999985E-3	1.202633778E-2
8.878982400E-2	1.856249943E-2	8.937500417E-3	-1.512499992E-3	2.065751571E-2
9.093743800E-2	3.437500075E-2	8.937500417E-3	-1.512499992E-3	3.555006675E-2
9.308297800E-2	4.908749834E-2	3.987499978E-3	-2.749999985E-4	4.924995710E-2
9.523043800E-2	6.366249919E-2	1.512499992E-3	9.624999948E-4	6.368773717E-2
9.737589100E-2	7.590000331E-2	-2.062499989E-3	9.624999948E-4	7.593412155E-2
9.952358100E-2	8.689999580E-2	-4.537499975E-3	2.199999988E-3	8.704618416E-2
1.016688910E-1	9.542500228E-2	-7.012499962E-3	2.199999988E-3	9.570760793E-2
