"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.620313900E-2	1.569849998E-1	3.127630055E-1	4.646669924E-1	5.817047375E-1
2.478837000E-2	4.823319912E-1	9.874399751E-2	7.745760083E-1	9.178030940E-1
3.337332700E-2	4.348410070E-1	-2.341289967E-1	9.652180076E-1	1.084227324E0
4.195855800E-2	3.628790081E-1	-3.736450076E-1	1.090672970E0	1.208660123E0
5.054355300E-2	3.077859879E-1	-2.203779966E-1	1.047497034E0	1.113799224E0
5.912870700E-2	2.602429986E-1	-1.429300010E-1	8.468549848E-1	8.973955475E-1
6.771373100E-2	1.083000004E-1	-5.774499848E-2	7.265769839E-1	7.368700622E-1
7.629888700E-2	-1.372100040E-2	2.867599949E-2	6.868259907E-1	6.875612847E-1
8.488412000E-2	-1.172979996E-1	2.854100056E-2	7.201269865E-1	7.301755173E-1
9.346912000E-2	-1.742690057E-1	-7.315000053E-3	7.716150284E-1	7.910834012E-1
1.020540360E-1	-1.173250005E-1	-9.757400304E-2	7.651219964E-1	7.801906890E-1
1.106391900E-1	1.422199979E-2	-3.264399990E-2	5.673040152E-1	5.684203916E-1
1.192244180E-1	1.662030071E-1	2.647100016E-2	2.287369967E-1	2.839802230E-1
1.278094180E-1	3.106969893E-1	-1.285640001E-1	3.284029961E-1	4.700104777E-1
1.363946010E-1	3.882969916E-1	2.803319991E-1	-1.942840070E-1	5.168238179E-1
1.449796010E-1	6.599389911E-1	1.036699954E-2	-1.076943040E0	1.263104611E0
1.535647670E-1	7.409240007E-1	-6.191299856E-2	-1.243520021E0	1.448842172E0
1.621497670E-1	6.977739930E-1	-2.249200083E-2	-7.090349793E-1	9.950502688E-1
1.707349160E-1	5.516319871E-1	-8.745300025E-2	-3.138810098E-1	6.406771143E-1
1.793201450E-1	3.331899941E-1	-7.823699713E-2	-2.202990055E-1	4.070236501E-1
1.879051260E-1	1.508429945E-1	-1.769999973E-3	-2.285699993E-1	2.738630798E-1
1.964902800E-1	2.227099985E-2	1.016950011E-1	-2.410179973E-1	2.625405601E-1
2.050752270E-1	1.600140035E-1	1.015489995E-1	-2.558560073E-1	3.184006550E-1
2.136603810E-1	3.704429865E-1	-5.318599939E-2	-6.302160025E-1	7.329590483E-1
2.222453950E-1	4.882709980E-1	-3.337660134E-1	-9.967669845E-1	1.159030949E0
2.308305490E-1	5.276780128E-1	-6.003140211E-1	-1.004544973E0	1.283717887E0
2.394155650E-1	3.754099831E-2	-1.116439998E-1	-3.242050111E-1	3.449385431E-1
2.480006750E-1	-3.047679961E-1	6.238500029E-2	6.168799847E-2	3.171448074E-1
2.565859040E-1	-7.612599730E-1	-1.039989963E-1	3.779740036E-1	8.562691663E-1
2.651709040E-1	-1.440575004E0	-1.911820024E-1	8.624789715E-1	1.689874811E0
2.737560580E-1	-2.112037897E0	-2.391680032E-1	2.444284916E0	3.239202705E0
2.823410600E-1	-2.953722954E0	-3.889510036E-1	4.576017857E0	5.460375591E0
2.909262140E-1	-4.292815208E0	-5.595359802E-1	6.450588226E0	7.768618371E0
2.995111660E-1	-6.045049191E0	-9.551280141E-1	8.704540253E0	1.064067245E1
3.080963200E-1	-7.691938877E0	-1.384390950E0	1.136415863E1	1.379226462E1
3.166813440E-1	-8.910098076E0	-2.446080923E0	1.373372364E1	1.655259269E1
3.252664980E-1	-9.975172997E0	-3.986812115E0	1.557645416E1	1.892153988E1
3.338516840E-1	-1.114309406E1	-5.609145164E0	1.700164795E1	2.108760507E1
3.424366840E-1	-1.162211514E1	-7.998585224E0	1.715827942E1	2.221390282E1
